year,tract,pop,lpa,mhlth,obese
4,42101012201,2911,29.7,18.3,27.3
5,42101012201,2893,29,17.7,31.6
1,42101012203,1120,18.1,15.6,23.7
2,42101012203,1120,20.2,14.4,22.8
3,42101012203,1120,18.7,15.7,21.3
4,42101012203,1120,19.2,17.1,21.9
5,42101012203,658,15.6,17.9,23.7
1,42101012204,3564,24.7,13,30.3
2,42101012204,3564,29.4,12.7,31.3
3,42101012204,3564,28.8,13.7,29.1
4,42101012204,3564,29.4,14.2,29.6
5,42101012204,3694,25.3,13.7,32.9
1,42101012500,5210,13.8,12.1,19.6
2,42101012500,5210,16.3,11.7,19.5
3,42101012500,5210,14.8,13.6,18.1
4,42101012500,5210,15.2,14.2,18.8
5,42101012501,2935,16,16.6,22.6
5,42101012502,5141,13.1,13.7,22.9
1,42101013100,1529,25.8,19.1,34.7
2,42101013100,1529,34.8,20.3,37.2
3,42101013100,1529,33.2,20.1,35.4
4,42101013100,1529,34.4,22.5,36
5,42101013100,1709,29.4,21.1,36.8
1,42101013200,2914,33.5,19,39.1
2,42101013200,2914,36.9,17.3,38.1
3,42101013200,2914,35.8,17.1,36
4,42101013200,2914,36.7,18.9,36.5
5,42101013200,3221,29.6,20,33.8
1,42101013300,2854,18,17.7,27.8
2,42101013300,2854,18.3,14.3,25.4
3,42101013300,2854,16.3,16,23.9
4,42101013300,2854,16.8,17.2,24.7
5,42101013300,4057,13,17.2,25.2
1,42101013401,2288,13.8,10,20.5
2,42101013401,2288,17.2,10,21.6
3,42101013401,2288,16.2,11.8,19.7
4,42101013401,2288,16.7,11.9,20.6
5,42101013401,2971,14.4,12.3,23.1
1,42101013402,2922,11,12.3,20.7
2,42101013402,2922,13.8,11.8,21
3,42101013402,2922,12.1,14.1,19.5
4,42101013402,2922,12.3,14.5,20.4
5,42101013402,3635,12,15.4,24.3
1,42101013500,3222,16.4,13.5,25.8
2,42101013500,3222,19.6,12.9,26.4
3,42101013500,3222,18.1,14.6,24.6
